0,0,-3,-4,-5,0,0,0,-1,0,0,0,0,-4,0,-2,0,0,-6,0,-2,0,-3,-6,0,0,0,-7,0,-7,0,-7,6,-7,0,-7,7,0,0,0,0,0,0,0,0,0,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,4,3,2,-1,|,6,1,8,2,|,356.8999999999978,|,0,0,-3,-4,-5,0,0,0,-1,0,0,0,0,-4,0,0,0,0,-6,0,-2,0,-3,-6,0,0,-2,-7,0,6,0,-7,0,-7,0,-7,7,0,0,0,0,0,0,0,0,0,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,4,3,2,-1
0,0,-3,-4,-5,0,-3,0,-1,0,0,0,0,-4,0,-2,0,0,-6,0,-2,0,0,-6,0,0,0,-7,0,-7,0,-7,0,-7,0,-7,0,0,0,0,0,0,0,0,-1,7,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,4,3,2,1,|,6,0,4,2,|,76.29999999999927,|,0,0,-3,-4,-5,0,0,0,-1,0,0,0,0,-4,0,-2,0,0,-6,0,-2,0,-3,-6,0,0,0,-7,0,-7,0,-7,6,-7,0,-7,0,0,0,0,0,0,0,0,-1,7,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,4,3,2,1
0,0,-3,-4,-5,0,0,0,-1,0,0,0,0,-4,0,0,0,0,-6,0,-2,0,-3,0,0,0,-2,-7,0,6,0,-7,0,-7,0,-7,7,0,0,0,0,-6,0,0,0,0,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,4,3,0,-1,|,8,0,6,0,|,-48.525000000001455,|,0,0,-3,-4,-5,0,-1,0,0,0,0,0,0,-4,0,0,0,0,-6,0,-2,0,-3,0,0,0,-2,-7,0,6,0,-7,0,-7,0,-7,7,0,0,0,7,-6,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,4,3,0,-1
0,0,-3,-4,-5,0,-1,0,0,0,0,0,0,-4,0,0,0,0,-6,0,-2,0,-3,0,0,0,-2,-7,0,6,0,-7,0,-7,0,-7,7,0,0,0,7,-6,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,4,3,0,-1,|,4,2,2,0,|,154.29999999999927,|,0,0,-3,-4,-5,0,-1,0,0,0,0,0,0,-4,0,0,0,0,-6,0,-2,0,0,0,0,0,-2,-7,0,0,0,-7,0,-7,0,-7,7,0,0,0,7,-6,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,4,3,0,-1
0,0,-3,-4,-5,0,0,0,-1,0,0,0,0,-4,0,0,0,0,-6,0,-2,0,-3,-6,0,0,-2,-7,0,6,0,-7,0,-7,0,-7,7,0,0,0,0,0,0,0,0,0,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,4,3,2,-1,|,5,2,5,4,|,238.89999999999782,|,0,0,-3,-4,-5,0,0,0,-1,0,0,0,0,-4,0,0,0,0,-6,0,-2,0,-3,0,0,0,-2,-7,0,6,0,-7,0,-7,0,-7,7,0,0,0,0,-6,0,0,0,0,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,4,3,0,-1
0,0,-3,-4,-5,0,0,0,0,0,0,0,0,-4,0,-1,0,0,0,0,-2,0,0,0,0,0,-2,-7,0,0,0,7,0,-7,0,-7,-6,0,0,0,0,-6,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,3,4,5,4,3,0,-1,|,2,2,4,3,|,932.5,|,0,0,-3,-4,-5,0,0,0,0,0,0,0,0,-4,0,-1,0,0,0,0,0,0,0,0,0,0,-2,-7,0,0,0,-2,0,-7,0,-7,-6,0,0,0,6,-6,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,3,4,5,4,3,0,-1
0,-2,-3,-4,-5,0,-3,0,-1,0,-1,0,0,-4,0,0,0,0,-6,0,0,0,0,0,0,-6,-2,-7,0,-7,0,-7,0,-7,0,-7,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,7,0,7,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,1,2,3,4,5,4,3,0,1,|,7,2,5,2,|,-14.375,|,0,-2,-3,-4,-5,0,-3,0,-1,0,-1,0,0,-4,0,0,0,0,-6,0,0,0,0,-6,0,0,-2,-7,0,-7,0,-7,0,-7,0,-7,0,0,0,0,0,0,0,0,0,7,0,7,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,1,2,3,4,5,4,3,0,1
0,0,-3,-4,-5,0,0,0,0,0,0,0,0,-4,0,-1,0,0,-6,0,-2,0,0,0,0,0,-2,-7,0,0,0,7,0,-7,0,-7,7,0,0,0,0,-6,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,4,3,0,-1,|,0,2,0,4,|,668.9249999999993,|,0,0,-3,-4,-5,0,0,0,0,0,0,0,0,-4,0,-1,0,0,0,0,-2,0,0,0,0,0,-2,-7,0,0,0,7,0,-7,0,-7,-6,0,0,0,0,-6,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,3,4,5,4,3,0,-1
0,0,-3,-4,-5,0,-1,0,0,0,0,0,0,-4,0,0,0,0,-6,0,-2,0,0,0,0,0,-2,-7,0,0,0,-7,0,-7,0,-7,7,0,0,0,7,-6,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,4,3,0,-1,|,6,0,6,1,|,349.7499999999982,|,0,0,-3,-4,-5,0,0,0,0,0,0,0,0,-4,0,-1,0,0,-6,0,-2,0,0,0,0,0,-2,-7,0,0,0,7,0,-7,0,-7,7,0,0,0,0,-6,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,4,3,0,-1
0,-2,-3,-4,-5,0,-3,0,-1,0,0,0,0,-4,0,-2,0,0,-6,0,0,0,0,-6,0,0,0,-7,0,-7,0,-7,0,-7,0,-7,0,0,0,0,0,0,0,0,-1,7,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,1,2,3,4,5,4,3,2,1,|,1,0,2,2,|,154.25,|,0,0,-3,-4,-5,0,-3,0,-1,0,0,0,0,-4,0,-2,0,0,-6,0,-2,0,0,-6,0,0,0,-7,0,-7,0,-7,0,-7,0,-7,0,0,0,0,0,0,0,0,-1,7,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,4,3,2,1
