0,0,0,-4,-5,-4,-3,0,0,0,0,-1,-2,0,0,0,0,0,0,-6,0,0,-3,0,-2,0,0,-7,0,0,0,0,0,-7,0,-7,0,0,0,0,-7,0,0,0,0,0,0,6,0,0,0,0,0,0,7,0,7,0,7,0,7,0,7,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,4,5,4,3,0,0,|,1,2,1,5,|,-304,|,0,0,0,-4,-5,-4,-3,0,0,0,0,-1,-2,0,0,0,0,0,0,0,0,0,-3,0,-2,0,0,-7,0,0,0,0,0,-7,0,-7,0,0,0,0,-7,0,0,0,0,0,-6,6,0,0,0,0,0,0,7,0,7,0,7,0,7,0,7,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,2,3,4,5,4,3,0,0
0,0,0,-4,-5,-4,-3,0,0,0,0,-1,-2,0,0,0,0,0,0,0,0,0,-3,0,-2,0,0,-7,0,0,0,0,0,-7,0,-7,0,0,0,0,-7,0,0,0,0,0,-6,6,0,0,0,0,0,0,7,0,7,0,7,0,7,0,7,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,2,3,4,5,4,3,0,0,|,6,2,7,0,|,-378.5,|,0,0,0,-4,-5,-4,-3,-2,0,0,0,-1,-2,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,-7,0,0,0,0,0,6,0,-7,0,0,0,0,-7,0,0,0,0,0,-6,6,0,0,0,0,0,0,7,0,7,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,4,5,4,3,0,0
0,0,0,-4,-5,-4,-3,-2,0,0,0,-1,-2,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,-7,0,0,0,0,0,6,0,-7,0,0,0,0,-7,0,0,0,0,0,-6,6,0,0,0,0,0,0,7,0,7,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,4,5,4,3,0,0,|,4,2,6,4,|,-402.5,|,0,0,0,-4,-5,-4,-3,-2,0,0,0,-1,-2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-7,0,0,0,0,0,6,0,-7,0,0,0,0,-7,0,-3,0,0,0,-6,6,0,0,0,0,0,0,7,0,7,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,4,3,0,0
0,0,0,-4,-5,-4,-3,-2,0,0,0,-1,-2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-7,0,0,0,0,0,6,0,-7,0,0,0,0,-7,0,-3,0,0,0,-6,6,0,0,0,0,0,0,7,0,7,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,4,3,0,0,|,4,0,4,1,|,-458.25,|,0,0,0,-4,0,-4,-3,-2,0,0,0,-1,-2,-5,0,6,0,0,0,0,0,1,0,0,0,0,0,-7,0,0,0,0,0,0,0,-7,0,0,0,0,-7,0,-3,0,0,0,-6,6,0,0,0,0,0,0,7,0,7,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,4,3,0,0
0,0,0,-4,0,-4,-3,-2,0,0,0,-1,-2,-5,0,6,0,0,0,0,0,1,0,0,0,0,0,-7,0,0,0,0,0,0,0,-7,0,0,0,0,-7,0,-3,0,0,0,-6,6,0,0,0,0,0,0,7,0,7,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,4,3,0,0,|,4,4,4,5,|,-466.5,|,0,0,0,-4,0,-4,-3,-2,0,0,0,-1,-2,-5,0,0,6,0,0,0,0,1,0,0,0,0,0,-7,0,0,0,0,0,0,0,-7,0,0,0,0,0,0,-3,0,0,0,-6,6,0,-7,0,0,0,0,7,0,7,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,4,3,0,0
0,0,0,-4,0,-4,-3,-2,0,0,0,-1,-2,-5,0,0,6,0,0,0,0,1,0,0,0,0,0,-7,0,0,0,0,0,0,0,-7,0,0,0,0,0,0,-3,0,0,0,-6,6,0,-7,0,0,0,0,7,0,7,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,4,3,0,0,|,1,5,1,6,|,-631.25,|,0,0,0,-4,0,-4,-3,-2,0,0,0,-1,-2,-5,0,0,6,0,0,0,0,1,0,0,0,0,0,-7,0,0,0,0,0,0,0,-7,0,0,0,0,0,0,-3,0,0,0,0,6,0,7,0,0,0,0,7,-6,7,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,4,3,0,0
0,0,0,-4,0,-4,-3,-2,0,0,0,-1,-2,-5,0,0,6,0,0,0,0,1,0,0,0,0,0,-7,0,0,0,0,0,0,0,-7,0,0,0,0,0,0,-3,0,0,0,0,6,0,7,0,0,0,0,7,-6,7,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,4,3,0,0,|,1,6,6,6,|,-675.6749999999993,|,0,0,0,-4,0,-4,-3,-2,0,0,0,-1,-2,-5,0,0,6,0,0,0,0,1,0,0,0,0,0,-7,0,0,0,0,0,0,0,-7,0,0,0,0,7,0,-3,0,0,0,0,6,0,0,0,0,0,0,7,0,7,0,0,0,-6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,4,3,0,0
0,0,0,-4,0,-4,-3,-2,0,0,0,-1,-2,-5,0,0,6,0,0,0,0,1,0,0,0,0,0,-7,0,0,0,0,0,0,0,-7,0,0,0,0,7,0,-3,0,0,0,0,6,0,0,0,0,0,0,7,0,7,0,0,0,-6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,4,3,0,0,|,4,1,5,1,|,-656.6749999999993,|,0,0,0,-4,0,-4,-3,-2,0,0,0,-1,-2,0,-5,0,6,0,0,0,0,1,0,0,0,0,0,-7,0,0,0,0,0,0,0,-7,0,0,0,0,7,0,-3,0,0,0,0,0,0,6,0,0,0,0,7,0,7,0,0,0,-6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,4,3,0,0
0,0,0,-4,0,-4,-3,-2,0,0,0,-1,-2,0,-5,0,6,0,0,0,0,1,0,0,0,0,0,-7,0,0,0,0,0,0,0,-7,0,0,0,0,7,0,-3,0,0,0,0,0,0,6,0,0,0,0,7,0,7,0,0,0,-6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,4,3,0,0,|,2,1,3,1,|,-734.7999999999993,|,0,0,0,-4,0,-4,-3,-2,0,0,0,0,-1,0,-5,0,6,0,0,0,0,0,0,0,0,0,0,-7,0,0,0,0,0,0,0,-7,0,0,0,0,7,0,-3,0,0,0,0,0,0,6,0,0,0,0,7,0,7,0,0,0,-6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,4,3,0,0
0,0,0,-4,0,-4,-3,-2,0,0,0,0,-1,0,-5,0,6,0,0,0,0,0,0,0,0,0,0,-7,0,0,0,0,0,0,0,-7,0,0,0,0,7,0,-3,0,0,0,0,0,0,6,0,0,0,0,7,0,7,0,0,0,-6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,4,3,0,0,|,6,6,0,6,|,-843.7999999999993,|,0,0,0,-4,0,-4,-3,-2,0,0,0,0,6,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,-7,0,0,0,0,0,0,0,-7,0,0,0,0,7,0,-3,0,0,0,0,0,0,6,0,0,0,0,-6,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,4,3,0,0
